userName,content,score,at
Badrun Halkim,"Alhamdulillah berlangganan dengan Shopee sangat memuaskan, pelayanannya bagus dan bisa dipercaya",5,2025-04-08 12:51:11
mugni algifari,"pengirimannya sangat lama sekarang gak bisa sampai 4 hari, pasti 7 hari bahkan sepuluh hari",2,2025-04-08 12:51:04
Ahmad Rizky aditya,nomer kurir tidak di cantumkan,3,2025-04-08 12:51:04
Malik Al-fatih,mantap dan cepat,5,2025-04-08 12:50:23
Shelisia,ok,5,2025-04-08 12:50:10
advance server,"bilangin ke kurir nya kalo mau batalin paket (entah maksud memberi tau atau apalah), konfirmasi ke pemesan bukan ke yang atas nama, ni gw baru bangun tidur tiba tiba seler ngoceh rada marah dia, setelah gw cari tau di batalin tolong lah, gw nunggu paket lama ini pas Dateng langsung di batalin tanpa konfirmasi ke pemesan, apaan coba",1,2025-04-08 12:48:33
Rheno Satria,godddd,5,2025-04-08 12:48:28
Jihan Nabiilah,barang bagus,5,2025-04-08 12:47:53
Uzli fatul Jannah,mantap,5,2025-04-08 12:47:48
Arif Arifin,sangat membantu,5,2025-04-08 12:46:45
Mochamad Fahmi,mantap,5,2025-04-08 12:46:04
Nana Rihi,bagus bagus barang2nya,5,2025-04-08 12:45:30
Eal 90,"tolong dong jasa ekspedisinya tambahin lagi, jangan cuma spx,,, spx menurut saya agak lambat, terus paket nymampenya selalu mlm...",3,2025-04-08 12:43:45
Pahri Setiadi,"bagus banget fitur nya sekarang, lebih cepat sama elegan",5,2025-04-08 12:43:17
Muhammad Azzaidi,terpercaya,5,2025-04-08 12:42:58
Wahyu Saputra,membantu sekali.menghemat waktu,5,2025-04-08 12:42:14
Cudin Phie,"di Shopee... apapun ada,",5,2025-04-08 12:42:10
Lily Januardi,Makasih Shopee,5,2025-04-08 12:42:04
Dede Kusnadi,keren,4,2025-04-08 12:39:28
Fedz Embun,"tolong evaluasi kurir-kurir spx daerah garut,banyak kurir nakal. paket saya hilang ,emang diganti sama shopee duitnya. tapi kadang pas dapat barang yang limited terus ilang kan nyesek. terus kadang paket pada bolong ,bekas sobekan atau di intip. malah kadang isi paket ada yang hilang atau ada yang ga lengkap,bekas sobekan dan di repack ulang seadanya. jadi kecewa kalo begini ,jadi malas pake spx lagi",2,2025-04-08 12:39:28
Anggun Rahmadhani,"banyak bug nya,tolong di perbaiki,tiba"" ke close sendiri padahal niat mau neken profil doang,tolong diperbaiki🙏",3,2025-04-08 12:39:06
GHAIDA AIDILLA,ai lov yu,5,2025-04-08 12:37:29
Lidia Mang,bagus,5,2025-04-08 12:37:26
Zaror boyka,sangat bagus,5,2025-04-08 12:36:55
Dalung 1,sangat membantu 😩,5,2025-04-08 12:36:14
Nur Fatimah,saya masih kesulitan/kurang paham dalam penggunaan vocer atau yg lain.,5,2025-04-08 12:35:07
nunung,"aplikasi yg sgt membantu dlm segala hal ,kl bisa di nobatkan ,plng cocok jd menteri perekonomian indonesia ,Krn memberi semua solusi di jaman sulit Gni drpd pemerintah tindakanya bertele tele dan ga ngefek buat rakyat bwh kaya aku",5,2025-04-08 12:34:40
rangga janshon,beli Voucher VIP tapi gg guan,1,2025-04-08 12:34:14
Gjk Jkt Driver,mantap,5,2025-04-08 12:33:39
M Aminn67,sangat bagus,5,2025-04-08 12:33:20
ZUBAIRIGA AR DHELARDO ZUBAIRIGA AR DHELARDO,barang sesuai dan cepat sampai pesanannya,5,2025-04-08 12:33:08
Infinix Hot,sayang banget udah gk bisa co pake kurir J&T.. pdahal kami di pelosok desa rata2 belanja online di Shopee...karena cuma J&T yg tembus pelosok desa kami...dan sekarang udah gak bisa lagi dehh... :) pindah ke apk ijo sama tt karena masih bisa lewat j&t,1,2025-04-08 12:32:45
NUJUL LUNETO,puas,5,2025-04-08 12:32:23
Agus Channel,TAMBAHIN MODE MALAM DONG,4,2025-04-08 12:32:06
Nasri Mustafa,"sudah gak bisa pake ini aplikasi, satu²nya yg bisa ngirim paket cmn jnt yg sampe rumah, dan sekarang sdh tdk ada pengiriman ke alamat sy, padahal baru sja suka pake ini aplikasi. sdh bikin kecewa",1,2025-04-08 12:30:57
Sayekti Melisa,bagus,3,2025-04-08 12:30:19
minar situmorang,oke punya belanja di shopee,5,2025-04-08 12:30:18
Ratna Dewi,mantap,5,2025-04-08 12:30:17
Jhony Fandi,bagus,5,2025-04-08 12:30:08
My Soul,sekarang pengirimannya lemot sejak kurir favorit gw di pecat ....,1,2025-04-08 12:30:00
Theo Prasetya,CUMA OMON-OMON AJA👎,1,2025-04-08 12:29:32
Tifa Arkafasya,mempermudah bgt,5,2025-04-08 12:28:56
And R,mntap,5,2025-04-08 12:28:55
Alino dharta Assegaf,keren,5,2025-04-08 12:27:24
Muh Fazni,mntep,5,2025-04-08 12:26:57
Ilpan Sutiyawan12,sangat membantu,5,2025-04-08 12:24:57
april ulfa,"barang lengkap ,respon pembeli,ongkir jangan terlalu mahal",5,2025-04-08 12:24:30
kiki andrianto,Shopee memang sangat dapat dipercaya,5,2025-04-08 12:23:12
Aril Aril,bagus,5,2025-04-08 12:22:37
Tedi Yuvensius,produknya banyak pilihan,5,2025-04-08 12:22:06
agus riyanto,"parah, barang tidak dikirim",1,2025-04-08 12:21:02
Lionel Aswinwijaya,Top aplikasi ini,5,2025-04-08 12:20:00
Galaxy,mntap,5,2025-04-08 12:19:51
Rhendy MV,spx pengiriman lama mnding pas jnt lbih tepat sama estimasi,1,2025-04-08 12:19:28
Elsa Amelia,Sayah puas belanja di toko inih terima kasih buat yg jual terima kasih jga buat bag kulir nyh,5,2025-04-08 12:19:23
Annursan Dwi Akbar,sangat memuaskan,5,2025-04-08 12:19:19
Alya Aulia,Dri ada shoppe suka belanja dsni membantu aq yg mles bgt klr tingal psen lngsung dtng krmh deh,5,2025-04-08 12:18:57
Yusuf Valentino,"Shopee menjadi pilihan no 1 untuk saya belanja online..karena di bandingkan dengan yang lain,shopee harganya paling murah dan barangnya sangat memuaskan..serta yang paling penting ada gratis ongkirnya!..pokoknya menang banyak dech belanja di shopee 👍",5,2025-04-08 12:18:20
ario novika jaya,Mantap,5,2025-04-08 12:17:56
Sopian Pian,matap,5,2025-04-08 12:16:34
Tiger Ed,jos,5,2025-04-08 12:15:40
Aldi Keristiano,bagus,5,2025-04-08 12:15:01
Sadun,kenapa ya kebanyakan harganya tidak sesuai deskripsi yang tertera di foto,3,2025-04-08 12:13:54
Hani Puri m,sangat membantu pokonya,5,2025-04-08 12:13:53
Kembar Tiga,"sy suka dengan aplikas ini, mau belanja lebih mudah",5,2025-04-08 12:10:50
Ermiati 76,seru jika benaran dapatnyaw,5,2025-04-08 12:10:34
Dul Bk,cepat dann rapihhh,5,2025-04-08 12:09:02
Muhammad Syabil,baik,5,2025-04-08 12:07:45
trimono trimono,Shopee hebat dan kurir hebat dan cepat dlm layanan🙏🙏makasih Shopee semoga makin jaya🥰🥰🥰,5,2025-04-08 12:07:38
Jahuri Abdullah,"sekarang untuk pengirim nya sangat lambat, dan terkadang cancel otomatis dari pihak shopee atau oun ekspedisi nya tanpa ada pemberitahuan sebelum nya, semenjak tidak menggunakan jasa J&T jadi lemot semua 😡",2,2025-04-08 12:07:25
yelsi amanda sari,aplikasi Shopee nya baguss,3,2025-04-08 12:06:55
Riri,biaya admin makin gede,2,2025-04-08 12:06:21
Novanda,"kalo masuk aplikasi shoopee jangan langsung dimasukkin ke shoopee live dong kan ada menu utamanya,, ga penting banget",1,2025-04-08 12:05:50
Ameera Azzahra,terpercaya,5,2025-04-08 12:05:34
Khoiri Banjararum,bagus,5,2025-04-08 12:04:45
Sofi Salsabila,"oke sihh , terpercaya banget",5,2025-04-08 12:04:35
Nazwa Safira,wewwww,5,2025-04-08 12:04:27
Ridhi Astowo,oke,5,2025-04-08 12:04:25
Hanando 0306,"terlalu bnyak iklan yg gk penting, toko tidak tertata rapi",3,2025-04-08 12:04:25
Popo Niyem,sangat membantu,5,2025-04-08 12:04:02
Mang Aceng,Alhamdulillah,5,2025-04-08 12:03:55
Herbin Maulana,oke,5,2025-04-08 12:03:03
Emi Mujarah,Alhamdulillah slma pakai aplikasi ini tdk prnh mengecewakan...baik toko tempat pesan barang maupun kurir yg antar barang....sukses terus untuk Shopee....🤲😍,5,2025-04-08 12:02:56
Shila Darwin,pengiriman buruk pihak shopee mengutamakan jasa spx sedangkan spx tidak kompeten dalam pengambilan pick up,1,2025-04-08 12:02:27
Hanna Risna,balikin lagi j&t standar eco. karna spx di sini lelet. cuma j&t yang cepat,1,2025-04-08 12:02:16
radit yuenzi,keren,5,2025-04-08 12:01:49
Bogel Deny,shopee manrab.pengiriman'a cepat. sesuai pesanan.packing rapih,5,2025-04-08 12:01:22
Aji Rifadli,top bgt,5,2025-04-08 12:00:57
Rzz Zukooyy,mantap,5,2025-04-08 11:59:19
Taufiq darmawan,"baik'sayangnya milik aku nggk bisa COD..terpaksa pilih aplikasi lain,kurang puas pakai shopee",2,2025-04-08 11:59:09
Bang ridoneh,Alhamdulillah...mantep pokoknya,5,2025-04-08 11:59:09
yassyin ngudi,mantap,5,2025-04-08 11:58:44
Ahmad zaky Kelana,belanja jadi lebih murah dan lebih mudah terima kasih shoope 👍🏻👍🏻👍🏻,5,2025-04-08 11:57:25
Ida Febryanti,saya tidak merasa pernah pesan barang di Shopee tapi hari ini tiba-tiba saya dapat paket dari Shopee.. kebetulan langsung saya bayar karena nama dan alamatnya benar rumah saya hanya saja tidak ada nomor tlpnnya. tapi saya tidak pernah merasa pesan barang tersebut. nama pengiriman nya sigen. id. Nomor tlp pengirim tidak bisa dihubungi.tolong pihak Shopee untuk menindak lanjuti takut ada pengiriman² seperti itu lagi atas nama Shopee. terimakasih,1,2025-04-08 11:57:09
Dzakirah Talita Zahra,bagussssss,5,2025-04-08 11:56:59
sri maharani,sukaa pk apk ini kemarin sempat uninstall krna berat.... skrg aman² aja dan berkurang lah ing nya... semoga trus berkembang lebih baik,5,2025-04-08 11:56:37
Totok Yulianto,mantap,5,2025-04-08 11:56:17
afida afna,"Lelet banget pdhl udh sering d update, jaringan bagus, pas buka shopee langsung live dan video itu bikin makin lelet abies, dikira pengguna shopee hp nya mahal2 jadi gak lelet? ayolah pentingin pengguna lain jg, jangan terlalu berat aplikasi nya, buat Milah milih barang yg berkualitas jadinya kurang nyaman Karena leletnya handphone dan memilih untuk males buka shopee kalo GK krna kepencet dan butuh bgt.",2,2025-04-08 11:54:23
Pindah Server,barang nya tolong diperhatikan dalam pengirimannya kadang barang rusak dalam proses pengiriman,1,2025-04-08 11:54:08
Bg Frendy,bagus,5,2025-04-08 11:53:13
Abdullah Luthfi 'Azzam,mantap,5,2025-04-08 11:52:48
ell,suka bangt sering dapat diskon yang besar 🩷🩷,5,2025-04-08 11:52:25
Torang Panjaitan,belanja gampang,4,2025-04-08 11:52:16
Noviar Bumiastuti,"selalu memberikan yg terbaik , pertahankan",5,2025-04-08 11:51:59
Aroyyan Habib,bagus,5,2025-04-08 11:50:15
Umai Ua,ok,3,2025-04-08 11:49:54
kean channel,bagus,5,2025-04-08 11:49:37
Berry Mahdaniar,bagus,5,2025-04-08 11:49:36
Bashori Bashori,bagus,5,2025-04-08 11:48:32
Depan Belakang,amanah,5,2025-04-08 11:47:51
Rohim Risnawan,sangat bagus,5,2025-04-08 11:47:41
Daviq Amroe,"aplikasi online shop terbesar dan memiliki pihak ekspedisi sendiri, namun untuk dari pihak ekspedisinya sangat lelet untuk melakukan penjemputan paket dan pengiriman paket juga lelet sekali.",1,2025-04-08 11:47:37
apriliadwi anggrainiputritegalrejo,sangat baik😁😁,5,2025-04-08 11:47:05
Djoko Moerjanto,pelayanan cepat kurir ramah barang bagus pertahankan dan tingkatkan,5,2025-04-08 11:46:55
Bnb Cell,👍 kalo bisa banyakin lagi vocer gratis sama discount nya,5,2025-04-08 11:46:43
nuralam alam,kalo di batalin maksa pengen di beli ga bisa di batalin,1,2025-04-08 11:45:42
Ainul Yakin,tau anying?? gua gak masalah soal apknya gua cuma nggk suka sama iklannya tau?? gua tuh dah instal apknya gak usah lu tampilin lagi,1,2025-04-08 11:44:11
Yudian Pratama,bagus,5,2025-04-08 11:44:09
Bunda Farma,aplikasi babi sangat merugikan penjual terutama tidak melakukan apapun dikira melakukan aktivitas mencurigakan kan babi emang,1,2025-04-08 11:44:04
Asep Septiyadi,Terimakasih atas pelayanan nya,5,2025-04-08 11:43:46
Ardianza Teddy,Shopee mantap👍🏼👍🏼👍🏼,5,2025-04-08 11:43:14
Asep Supardi,Sangat membatu sekali,5,2025-04-08 11:43:12
Panembahan Agung,pengiriman sangat buruk / lambat,1,2025-04-08 11:43:05
ariani ariani,Aplikasi terpercaya untuk belanja sngat muda dan amanah,5,2025-04-08 11:41:59
Fajar wahyu Wahyu,puas deh belanja di toko ini,4,2025-04-08 11:41:04
dwivinta Rizky,"udh bertahun2 pake app ini dulu lancar, sekarang lambat, pengiriman gk jelas, paket muter2 terus. keterangan udh di antar kurir ditunggu2 gk ada ngehubungin, tiba2 keterangan gk jelas. paket kembali lagi ke hub. paket udh mau 1 bln gk sampe juga, gk bergerak samasekali. nnti klo dibatalkan yg disalahkan pembeli hedehhh",1,2025-04-08 11:39:35
Wahyu Iksanw,baik,5,2025-04-08 11:39:27
Bpym Team,pengiriman sekarang luama,1,2025-04-08 11:38:42
Teguh Prana,shopee mantap,5,2025-04-08 11:38:30
uky masarri,keren,5,2025-04-08 11:38:12
Romi Setiawan,bagus,5,2025-04-08 11:38:10
Eti Rusmiati,bagus sekali,5,2025-04-08 11:37:59
Rizki Saputra,good,5,2025-04-08 11:36:43
Isma,"bagus,tdak mengecewakan",5,2025-04-08 11:36:10
Sri Novita,shopee mantap,5,2025-04-08 11:34:32
Kieky Murtaqi,"puas,baik",4,2025-04-08 11:33:51
Kardono Dono,"buruk bagi saya, setiap pesen barangnya gak bisa digunakan",1,2025-04-08 11:31:47
battosai suriken,mantap,1,2025-04-08 11:31:40
ALFAN Gaming,Pesana saya Malah Gagal dan nggak bisa dikirim ulang mohon di bantu penjelasannya,1,2025-04-08 11:31:40
Rocks Klowor,membantu kelangsungan hidup,4,2025-04-08 11:30:45
Caesar J,"belanja nyaman,aman.",5,2025-04-08 11:30:32
Putu Murniasih,keren,5,2025-04-08 11:30:30
Muhadi,"Alhamdulillah, Akun yang terkena bajak sudah pulih, walaupun lama prosesnya, belanja di shopee skrg lebih mudah dan aman, semoga Kedepan banyak bonus"" untuk akun platinum, dan diskon khusus pengguna dan menarik lainya,. doa""in rejeki saya lancar dan tingkatkan kualitas pelayanan shopee dan mitra toko nya agar selalu terpercaya agar kami tetap berbelanja disini ^_",4,2025-04-08 11:29:02
Justin Abin,bagus,5,2025-04-08 11:29:01
Najwa Madiun,mantab,5,2025-04-08 11:26:57
Ruswanto Rustam,good,5,2025-04-08 11:26:35
Agus Lasso,baik,5,2025-04-08 11:26:26
Ana Ana,pelayanan kurir baik,5,2025-04-08 11:25:58
Yudha Surbakti,.mempermudah berbelanja tanpa harus keluar rumah..semoga tetap JD yg terbaik utk aplikasi ini,5,2025-04-08 11:25:19
Mirah Barbiee,sejauh ini tidak mengecewakan,4,2025-04-08 11:24:44
Dyah Styo,sangat bagus,5,2025-04-08 11:23:45
Syhrl Rmdn,Shope makin kesini makin payah.... dari segi pengiriman lambat selalu telat.... apalagi kalo mau belanja. udah ditungguin bener2 ehh malah tiba tiba dibatalin otomatis tanpa kejelasan.... mending pindah ke yg lain deh kalo shope kaya gibi terus.,2,2025-04-08 11:23:11
Esti Yulianawati,belanja di shopee lebih enak..tinggal rebahan barang datang😁,5,2025-04-08 11:22:58
Didik Mangku Projo,Ongkir super murah cm bayar ongkir dimuka Rp14k udah gratis ongkir 1 bln penuh berapa x pun kita belanja Mantap puas belanja nya Terimakasih shopee 👍,5,2025-04-08 11:22:25
Mico Cyber,sangat membantu,5,2025-04-08 11:20:52
endi suhendi,shoope is the best,5,2025-04-08 11:18:31
Calon Youtuber,baguuss,5,2025-04-08 11:18:05
Aita Fitraga,sangat memuaskan,5,2025-04-08 11:17:47
Made Nur,lancar kaya,5,2025-04-08 11:17:46
Devita Triliana,best,5,2025-04-08 11:17:40
Bilqkis Humaira,lebih bagus,5,2025-04-08 11:17:24
Arif Irwansyah,bagus,5,2025-04-08 11:16:58
lili joyce,baik lah trimakasih 🙏,5,2025-04-08 11:16:53
Lita Jr,sangat oke,5,2025-04-08 11:16:26
bsk patu,bagus,5,2025-04-08 11:16:03
Nadine Octavia S.,"cepet sampai, kadang mahal sekali ongkir nya",4,2025-04-08 11:15:49
Putra Putri,mantap,5,2025-04-08 11:14:02
Porlandara,Belanja lebih nyaman... Pengembalian cepat kalau barang tidak sesuai....sejauh ini belanja di shoope sangat mudah dan yang pasti nya dipercaya,5,2025-04-08 11:13:44
Deni Ariw,sering dpt gratis ongkir,5,2025-04-08 11:13:19
Ecko Aurorah,sangat bagus,5,2025-04-08 11:13:16
Agus Tri,sdh bagus...tingkatkan terus kepuasan pelanggan,5,2025-04-08 11:12:58
Catur Winanto,kita bisa mencari barang yang kita inginkan dengan mudah.dengan harga yang sangat kompetitif,5,2025-04-08 11:12:49
Damai Sejahtera,jika bisa boleh ambil di kantor spx bagi yg sibuk kerja,5,2025-04-08 11:12:16
Elyn Xx,"jujur bagus,cuman iklannya nyebelin 😭🙏 di galeri di game juga iklannya adaa Mulu ,mana tanda x nya kecil pula 😃",3,2025-04-08 11:12:13
Tirta Yudha,aplikasi ini memang cocok untuk belanja online tapi saya pesan paket COD pas sampai malah di suruh tranfer padahal itu paket COD pas aku chat sama penjual nya kayanya bakalan di ganti eh sampai sekarang belum di ganti ganti ini mohon di perbaiki ya,4,2025-04-08 11:09:39
ketut suadnyana,lengkap,5,2025-04-08 11:07:35
Andra Kurniawan,"mohon maaf mulai sekarang STOP menggunakan aplikasi shopee, di karenakan shopee sudah tidak menggunakan pihak jasa kirim J&T EXPRESS.. malas menggunakan expedisi si SPX EXPRESS di jayapura papua di karenakan SPX sangat LOLA DAN LAMBAT 😡😡😡😡😡😡😡😡😡😡😡😡😡",1,2025-04-08 11:06:02
Keyza alvaro,BANYAK PECURIAN BARANG GAK ADDA KOMPENSASI TERHADAP PENJUAL DAN PEMBELI.... BANYAK OKNUM PENCURIAN BARANG & MENGGANTI BARANG... TIDAK TEGAS DALAM MENGHADAPI KARYAWAN SENDIRI.. TIDAK ADDA SANGSI BAGI PENCURI .. SPX EXPRESS MAKIN LAMA KAYAK TAIIIIII,1,2025-04-08 11:05:01
RIAN Ran,ok,5,2025-04-08 11:04:20
Rizky Rejo,"SAYA MEMBER PLATINUM,BELANJAAN PULUHAN JUTA SETIAP BULAN.SAYA KECEWA PAKET SAYA SUDAH 3X TIDAK DI ANTAR KURIR . SUDAH COBA KOMPLAIN TAPI TIDAK BERUBAH,LEBIH BAIK PINDAH KE APK SEBELAH !",1,2025-04-08 11:03:57
ikmal maulana,sagat bgus da murah,5,2025-04-08 11:03:56
Kalang Pangentas,"setelah update baru2 ini, saat buka shopee langsung disuguhi video dan live, itu membuat aplikasi menjadi sangat berat, apa itu dibutuhkan? dibeberapa hp akan terjadi crash, mungkin dikembalikan ke default/home saja saat pertama kali membuka aplikasi, kebanyakan video dimana2 membuat aplikasi menjadi sangat berat",1,2025-04-08 11:03:27
kudapanYARIS,shopee adalah solusi,5,2025-04-08 11:02:30
Koyimah Samsul Anam,95 % memuaskan.,5,2025-04-08 11:01:51
Ahmad Gaisan,pengiriman nya lama banget kecewa sama spx expres,1,2025-04-08 11:01:44
Aljunius Mbeki dedi,sangat baik belanja cuma qlw mw nyicil banxk sarat nya dan harus juga yg punx titel baru bisa itu sih kekurangan bagi saya,5,2025-04-08 11:00:49
Sumijah,saya senang dengan pelayanan shopee..cuman kenapa di daerah kami ongkir nya besar sekali ya..kalau produk sama pelayanan nya sangat saya sukai,4,2025-04-08 10:57:39
Ria Ria,"belanja Shopee foot, belanja baju",5,2025-04-08 10:57:39
Azzam Najmuddin,josssd,5,2025-04-08 10:57:16
Weldi Bae,"ga ada perubahan,tetap aja menyebalkan,yg tulis smpe psnan tgl brapa,pke iming2 voucher klo ga smpe tepat waktu,kenyataan nya seenak jidat loe aja merubah tgl yg dijanjikan,dari situ sudah ga amanah,tukang bohong",1,2025-04-08 10:57:09
Denda Uswah,sangat baik,5,2025-04-08 10:55:51
hola rez,Terlalu lama untuk pengiriman menggunakan SPX,1,2025-04-08 10:55:38
Rajuli rajuli,bagus semoga kedepannya makin sukses,5,2025-04-08 10:55:30
Angga Wib,aplikasi ini menijinkan seseorang menggunakan nomor hp orang lain untuk dijadikan jaminan tanpa adanya izin dari pemilik nomor. hal ini sangat mengganggu karena orang yg tidak bersalah sering mendapatkan teror dan spam telfon dari nomor tidak dikenal dari pihak SHOPEE. mohon untuk pihak shopee membenahi sistemnya dan berhentilah MENEROR ORANG YG TIDAK BERHUTANG DAN TIDAK TAHU MENAHU SOAL HUTANG ORANG LAIN,1,2025-04-08 10:55:21
